Mã sản phẩm,Tên sản phẩm,Giá,Doanh thu,Tên cửa hàng,Tỉ lệ hoa hồng,Hoa hồng,Link sản phẩm,Link ưu đãi
3791784325,Áo Chống Nắng Nam Thông Hơi Túi Khoá,"79,0k",100k+,Beleadershop 2,15%,₫11.850,https://shopee.vn/product/453981998/3791784325,https://s.shopee.vn/5AotUNAxfF
24895798519,"Quạt cầm tay mini tích điện  gió mạnh 16000 vòng/phút có dây đeo pin 4000mAh, màn hình LED hiển thị","369,0k",17,Nhiều hàng tốt,26%,₫95.940,https://shopee.vn/product/841091795/24895798519,https://s.shopee.vn/4fsctSCrgA
47901923098,[ HCM] Combo túi mũ đi biển cho bạn gái Mũ cói nơ ren đi biển phong cách vintage BELLA,"79,0k",34,Đồ Bơi BELLA,17%,₫13.430,https://shopee.vn/product/92039254/47901923098,https://s.shopee.vn/4qC35lCELD
26774950830,( 2 LỚP ) Áo Chống Nắng Dáng Dài Chất thun Lạnh Cao Cấp Chống Tia UV UPF50+  Mẫu Mới,"180,9k",2k+,xuongmayaonangaogio,15%,₫27.135,https://shopee.vn/product/171405414/26774950830,https://s.shopee.vn/4LFmUqE8M8
18144006340,"Áo chống nắng nam chất Thun lạnh cao cấp ,có che trán,vành mũ rộng chống nắng UPF 50+","120,0k",6k+,2T Fashion_xưởng may giá rẻ,18%,₫21.600,https://shopee.vn/product/115492250/18144006340,https://s.shopee.vn/4VZCh9DV1B
29983070452,"Set đồ 30/4 cho bé, set bộ trấn thủ 5CT cho bé trai bé gái: áo trấn thủ, áo cổ trụ, quần, túi, mũ từ 10 -26kg, Baby Girl","169,0k",1k+,Baby Girl Closet,14%,₫23.660,https://shopee.vn/product/153796378/29983070452,https://s.shopee.vn/40cw6EFP26
27815268529,"Quạt cầm tay 100 cấp độ gió, Quạt tích điện HSON pin cao 5000 MAH hiển thị đèn led, sử dụng lâu, di động, gió mạnh","152,0k",4k+,HSON  HCM,19%,₫28.880,https://shopee.vn/product/1076345772/27815268529,https://s.shopee.vn/4AwMIXElh9
26755162698,BỘ ĐỒ BƠI SÉT BIKINI 3 MÓN ÁO CROTOP TAY DÀI BRA TAM GIÁC QUẦN CẠP CAO 2 LỚP TRẺ TRUNG NĂNG ĐỘNG MS977,"199,0k",3k+,Lanbishop official store,12%,₫23.880,https://shopee.vn/product/730561461/26755162698,https://s.shopee.vn/10zKWiQp7Y
28566553682,"Áo điều hòa Akita Nhật Bản chính hãng, áo quạt điều hòa sử dụng liên tục 12-14h cực bền pin 74000mah","680,0k",10k+,SRAPP Việt Nam,17%,₫115.600,https://shopee.vn/product/1127858627/28566553682,https://s.shopee.vn/1BIkj1QBmb
41551074202,"Đồ bơi cho bé gái 2 tuổi -10 tuổi, bikini bé gái, đồ bộ bé gái ren mềm mix chân váy xòe đi biển đi chơi 10-30kg Đậu Kids","102,0k",2k+,Đậu Kids - Thời Trang Bé Gái ,15%,₫15.300,https://shopee.vn/product/7864296/41551074202,https://s.shopee.vn/gMU86S5nW
